https://www.ratebeer.com/beer/budweiser-35/64100/,Budweiser 3.5%,Anheuser-Busch InBev
https://www.ratebeer.com/beer/the-bruery-classic-german-pils/451591/,The Bruery Classic German Pils,The Bruery
https://www.ratebeer.com/beer/nectar-ales-pale-nectar/1659/,Nectar Ales Pale Nectar,Firestone Walker Brewing (Duvel Moortgat)
https://www.ratebeer.com/beer/bells-boiling-pot-ale/320575/,Bells Boiling Pot Ale,none
https://www.ratebeer.com/beer/three-floyds-big-tiddy-assassin--bourbon-barrel/418834/,Three Floyds Big Tiddy Assassin - Bourbon Barrel,Three Floyds Brewing Company
https://www.ratebeer.com/beer/corona-light/743/,Corona Light,Grupo Modelo (Corona)
https://www.ratebeer.com/beer/beavertown-lemon-phantom/274536/,Beavertown Lemon Phantom,Beavertown
https://www.ratebeer.com/beer/deschutes-streaking-the-quad/104610/,Deschutes Streaking the Quad,Deschutes Brewery
https://www.ratebeer.com/beer/the-kernel-india-pale-ale-scans/132804/,The Kernel India Pale Ale S.C.A.NS,The Kernel
https://www.ratebeer.com/beer/mikkeller-centennial-session-ipa/348021/,Mikkeller Centennial Session IPA,Mikkeller
https://www.ratebeer.com/beer/modern-times-pilot-batch-05-farmhouse-ipa/377959/,Modern Times Pilot Batch #05: Farmhouse IPA,Modern Times Beer
https://www.ratebeer.com/beer/modern-times-monsters-park--spanish-brandy-barrel/444527/,Modern Times Monsters Park - Spanish Brandy Barrel,Modern Times Beer
https://www.ratebeer.com/beer/buxton-old-world-saison/366786/,Buxton Old World Saison,Buxton
https://www.ratebeer.com/beer/de-molen-rye-ipa-cascade/215704/,De Molen Rye IPA Cascade,Brouwerij de Molen
https://www.ratebeer.com/beer/three-floyds-moloko--bourbon-barrel/108159/,Three Floyds Moloko - Bourbon Barrel,Three Floyds Brewing Company
https://www.ratebeer.com/beer/brewdog-hops-kill-nazis/154189/,BrewDog Hops Kill Nazis,BrewDog
https://www.ratebeer.com/beer/brewdog-tm10/123479/,BrewDog TM10,BrewDog
https://www.ratebeer.com/beer/modern-times-black-house--oak-chips-orange/304124/,Modern Times Black House - Oak Chips & Orange,Modern Times Beer
https://www.ratebeer.com/beer/sierra-nevada-sierrandipity/199540/,Sierra Nevada Sierrandipity,Sierra Nevada Brewing Company
https://www.ratebeer.com/beer/jopen-4-granen-doppelbock-2014/299466/,Jopen 4 Granen Doppelbock 2014,none
https://www.ratebeer.com/beer/jopen--stillwater-bloemenmarkt/338791/,Jopen / Stillwater Bloemenmarkt,Jopen
https://www.ratebeer.com/beer/the-bruery-hottenroth-berliner-weisse--key-lime/273120/,The Bruery Hottenroth Berliner Weisse - Key Lime,The Bruery
https://www.ratebeer.com/beer/ballast-point-tongue-buckler-imperial-red-ale--bourbon-barrel-aged/142837/,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company (Constellation)
https://www.ratebeer.com/beer/siren-maiden-2014/319421/,Siren Maiden 2014,Siren
https://www.ratebeer.com/beer/de-molen--pizza-port-pepperoni-pizza-porter/406384/,De Molen / Pizza Port Pepperoni Pizza Porter,Brouwerij de Molen
https://www.ratebeer.com/beer/beavertown-tiago-falcone/308677/,Beavertown Tiago Falcone,none
https://www.ratebeer.com/beer/against-the-grain--de-molen-bo-luke-orange-cacao/287152/,Against the Grain / De Molen Bo & Luke (Orange & Cacao),Against the Grain Brewery
https://www.ratebeer.com/beer/cigar-city-ethan-s-lil-experiment/177321/,Cigar City Ethan s Lil Experiment,Cigar City Brewing
https://www.ratebeer.com/beer/stone-mixtape-vol-04--rk-jms-blend/208509/,Stone Mixtape Vol. 04 - RK & JMs Blend,Stone Brewing
https://www.ratebeer.com/beer/siren-7-seas/251072/,Siren 7 Seas,Siren
https://www.ratebeer.com/beer/new-belgium-the-trip-xviii-el-dorado-fresh-hop-ipa/233302/,New Belgium The Trip XVIII (El Dorado Fresh Hop IPA),New Belgium Brewing Company
https://www.ratebeer.com/beer/flying-dog-table-for-two/144756/,Flying Dog Table For Two,Flying Dog Brewery
https://www.ratebeer.com/beer/cloudwater-dipa--v6/441009/,Cloudwater DIPA - v6,Cloudwater Brew Co
https://www.ratebeer.com/beer/the-kernel-pale-ale-centennial/120510/,The Kernel Pale Ale Centennial,The Kernel
https://www.ratebeer.com/beer/buxton-special-reserve-bomba-generation-4/323442/,Buxton Special Reserve Bomba Generation 4,none
https://www.ratebeer.com/beer/avery--powder-keg-sum-of-all-beers/325398/,Avery / Powder Keg Sum Of All Beers,Avery Brewing Company
https://www.ratebeer.com/beer/dugges-duggish-dipa/159627/,Dugges Duggish DIPA,Dugges Bryggeri
https://www.ratebeer.com/beer/clayton-hop-stompin-ipa/174639/,Clayton Hop Stompin IPA,none
https://www.ratebeer.com/beer/crooked-stave-nightmare-on-brett-cognac/193723/,Crooked Stave Nightmare on Brett (Cognac),Crooked Stave
https://www.ratebeer.com/beer/oskar-blues-gknight-bourbon-barrel/70761/,Oskar Blues GKnight (Bourbon Barrel),Oskar Blues Brewery
https://www.ratebeer.com/beer/three-floyds-wiseblood/388940/,Three Floyds WiseBlood,Three Floyds Brewing Company
https://www.ratebeer.com/beer/stone-ipa--tangerine/265880/,Stone IPA - Tangerine,Stone Brewing
https://www.ratebeer.com/beer/brewdog-deaf-mermaid/335663/,BrewDog Deaf Mermaid,BrewDog
https://www.ratebeer.com/beer/cigar-city-hunahpus-imperial-stout--apple-brandy-barrel-aged/119354/,Cigar City Hunahpus Imperial Stout - Apple Brandy Barrel Aged,Cigar City Brewing
https://www.ratebeer.com/beer/oskar-blues-chaka-whiskey-barrel-aged/252062/,Oskar Blues CHAKA (Whiskey Barrel Aged),Oskar Blues Brewery
https://www.ratebeer.com/beer/new-belgium-wood-aged-stout/72178/,New Belgium Wood Aged Stout,New Belgium Brewing Company
https://www.ratebeer.com/beer/mikkeller-hop-series-sorachi-ace/142548/,Mikkeller Hop Series Sorachi Ace,Mikkeller
https://www.ratebeer.com/beer/deschutes-red-chair-northwest-pale-ale/115824/,Deschutes Red Chair Northwest Pale Ale,Deschutes Brewery
https://www.ratebeer.com/beer/three-floyds-a-k-96/429362/,Three Floyds A K 96,Three Floyds Brewing Company
https://www.ratebeer.com/beer/brew-by-numbers--lervig-01-15-saison--rooibos-lemon/414856/,Brew By Numbers / Lervig 01/15 Saison - Rooibos & Lemon,Brew By Numbers
https://www.ratebeer.com/beer/the-bruery-gypsy-tart-2009/103600/,The Bruery Gypsy Tart (2009),The Bruery
https://www.ratebeer.com/beer/avery-piglet-purgatory/49728/,Avery Piglet Purgatory,Avery Brewing Company
https://www.ratebeer.com/beer/samuel-adams-longshot-american-rye-ale/124505/,Samuel Adams LongShot American Rye Ale,Boston Beer Company
https://www.ratebeer.com/beer/mikkeller-santas-little-helper-2016/457785/,Mikkeller Santas Little Helper 2016,Mikkeller
https://www.ratebeer.com/beer/avery-wheel-sucker-wheat/179871/,Avery Wheel Sucker Wheat,none
